Phase,error.object.name,errorCode,errorDescription
Account Look Up,UNABLE_TO_ASSOCIATE_PARTICIPANT,GENERIC_SERVER_ERROR,GENERIC_SERVER_ERROR
Account Look Up,UNABLE_TO_DISASSOCIATE_PARTICIPANT,GENERIC_SERVER_ERROR,GENERIC_SERVER_ERROR
Account Look Up,DESTINATION_PARTICIPANT_NOT_FOUND,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Account Look Up,SOURCE_PARTICIPANT_NOT_FOUND,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Account Look Up,INVALID_DESTINATION_PARTICIPANT,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
Account Look Up,INVALID_SOURCE_PARTICIPANT,DESTINATION_FSP_ERROR,DESTINATION_FSP_ERROR
Account Look Up,INVALID_MESSAGE_PAYLOAD,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Account Look Up,INVALID_MESSAGE_TYPE,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Account Look Up,UNABLE_TO_GET_ORACLE_ADAPTER,GENERIC_ID_NOT_FOUND,GENERIC_ID_NOT_FOUND
Account Look Up,UNABLE_TO_GET_PARTICIPANT_FROM_ORACLE,PARTY_NOT_FOUND,PARTY_NOT_FOUND
Account Look Up,COMMAND_TYPE_UNKNOWN,INTERNAL_SERVER_ERROR,INTERNAL_SERVER_ERROR
Account Look Up,REQUIRED_SOURCE_PARTICIPANT_ID_MISMATCH,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
Account Look Up,REQUIRED_SOURCE_PARTICIPANT_NOT_APPROVED,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
Account Look Up,REQUIRED_SOURCE_PARTICIPANT_NOT_ACTIVE,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
Account Look Up,REQUIRED_DESTINATION_PARTICIPANT_ID_MISMATCH,GENERIC_PAYEE_ERROR,GENERIC_PAYEE_ERROR
Account Look Up,REQUIRED_DESTINATION_PARTICIPANT_NOT_APPROVED,GENERIC_PAYEE_ERROR,GENERIC_PAYEE_ERROR
Account Look Up,REQUIRED_DESTINATION_PARTICIPANT_NOT_ACTIVE,GENERIC_PAYEE_ERROR,GENERIC_PAYEE_ERROR
Quote,INVALID_MESSAGE_PAYLOAD,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
Quote,INVALID_MESSAGE_TYPE,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
Quote,INVALID_BULK_QUOTE_LENGTH,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
Quote,RULE_SCHEME_VIOLATED_RESPONSE,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
Quote,RULE_SCHEME_VIOLATED_REQUEST,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
Quote,QUOTE_NOT_FOUND,QUOTE_ID_NOT_FOUND,QUOTE_ID_NOT_FOUND
Quote,BULK_QUOTE_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND
Quote,INDIVIDUAL_QUOTES_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND
Quote,INVALID_DESTINATION_PARTICIPANT,DESTINATION_FSP_ERROR,DESTINATION_FSP_ERROR
Quote,SOURCE_PARTICIPANT_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND
Quote,DESTINATION_PARTICIPANT_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND
Quote,QUOTE_EXPIRED,QUOTE_EXPIRED,QUOTE_EXPIRED
Quote,BULK_QUOTE_EXPIRED,QUOTE_EXPIRED,QUOTE_EXPIRED
Quote,REQUIRED_SOURCE_PARTICIPANT_ID_MISMATCH,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
Quote,REQUIRED_SOURCE_PARTICIPANT_NOT_APPROVED,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
