error.object.name,errorCode,errorDescription
INVALID_MESSAGE_PAYLOAD,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
INVALID_MESSAGE_TYPE,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
INVALID_BULK_QUOTE_LENGTH,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
RULE_SCHEME_VIOLATED_RESPONSE,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
RULE_SCHEME_VIOLATED_REQUEST,GENERIC_VALIDATION_ERROR,GENERIC_VALIDATION_ERROR
QUOTE_NOT_FOUND,QUOTE_ID_NOT_FOUND,QUOTE_ID_NOT_FOUND
BULK_QUOTE_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND
INDIVIDUAL_QUOTES_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND,BULK_QUOTE_ID_NOT_FOUND
INVALID_DESTINATION_PARTICIPANT,DESTINATION_FSP_ERROR,DESTINATION_FSP_ERROR
SOURCE_PARTICIPANT_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND,PAYER_FSP_ID_NOT_FOUND
DESTINATION_PARTICIPANT_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND,PAYEE_FSP_ID_NOT_FOUND
QUOTE_EXPIRED,QUOTE_EXPIRED,QUOTE_EXPIRED
BULK_QUOTE_EXPIRED,QUOTE_EXPIRED,QUOTE_EXPIRED
REQUIRED_SOURCE_PARTICIPANT_ID_MISMATCH,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
REQUIRED_SOURCE_PARTICIPANT_NOT_APPROVED,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
REQUIRED_SOURCE_PARTICIPANT_NOT_ACTIVE,GENERIC_PAYER_ERROR,GENERIC_PAYER_ERROR
REQUIRED_DESTINATION_PARTICIPANT_ID_MISMATCH,GENERIC_PAYEE_ERROR,GENERIC_PAYEE_ERROR
REQUIRED_DESTINATION_PARTICIPANT_NOT_APPROVED,GENERIC_PAYEE_ERROR,GENERIC_PAYEE_ERROR
REQUIRED_DESTINATION_PARTICIPANT_NOT_ACTIVE,GENERIC_PAYEE_ERROR,GENERIC_PAYEE_ERROR
DUPLICATE_QUOTE,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
UNABLE_TO_ADD_QUOTE,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
UNABLE_TO_ADD_BULK_QUOTE,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
UNABLE_TO_UPDATE_QUOTE,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
UNABLE_TO_UPDATE_BULK_QUOTE,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
INVALID_SOURCE_PARTICIPANT,GENERIC_CLIENT_ERROR,GENERIC_CLIENT_ERROR
COMMAND_TYPE_UNKNOWN,INTERNAL_SERVER_ERROR,INTERNAL_SERVER_ERROR
