"error.object.name","errorCode","errorDescription"
"COMMAND_TYPE_UNKNOWN","GENERIC_SERVER_ERROR","GENERIC_SERVER_ERROR"
"HUB_PARTICIPANT_ID_MISMATCH","GENERIC_SERVER_ERROR","GENERIC_SERVER_ERROR"
"UNABLE_TO_CANCEL_TRANSFER_RESERVATION_AND_COMMIT","GENERIC_SERVER_ERROR","GENERIC_SERVER_ERROR"
"UNABLE_TO_ADD_TRANSFER","INTERNAL_SERVER_ERROR","INTERNAL_SERVER_ERROR"
"UNABLE_TO_UPDATE_TRANSFER","INTERNAL_SERVER_ERROR","INTERNAL_SERVER_ERROR"
"UNABLE_TO_DELETE_TRANSFER_REMINDER","INTERNAL_SERVER_ERROR","INTERNAL_SERVER_ERROR"
"HUB_NOT_FOUND","GENERIC_ID_NOT_FOUND","GENERIC_ID_NOT_FOUND"
"HUB_ACCOUNT_NOT_FOUND","GENERIC_ID_NOT_FOUND","GENERIC_ID_NOT_FOUND"
"PAYER_POSITION_ACCOUNT_NOT_FOUND","PAYER_FSP_ID_NOT_FOUND","PAYER_FSP_ID_NOT_FOUND"
"PAYER_LIQUIDITY_ACCOUNT_NOT_FOUND","PAYER_FSP_ID_NOT_FOUND","PAYER_FSP_ID_NOT_FOUND"
"PAYER_PARTICIPANT_NOT_FOUND","PAYER_FSP_ID_NOT_FOUND","PAYER_FSP_ID_NOT_FOUND"
"PAYEE_POSITION_ACCOUNT_NOT_FOUND","PAYEE_FSP_ID_NOT_FOUND","PAYEE_FSP_ID_NOT_FOUND"
"PAYEE_LIQUIDITY_ACCOUNT_NOT_FOUND","PAYEE_FSP_ID_NOT_FOUND","PAYEE_FSP_ID_NOT_FOUND"
"PAYEE_PARTICIPANT_NOT_FOUND","PAYEE_FSP_ID_NOT_FOUND","PAYEE_FSP_ID_NOT_FOUND"
"TRANSFER_NOT_FOUND","TRANSFER_ID_NOT_FOUND","TRANSFER_ID_NOT_FOUND"
"UNABLE_TO_GET_TRANSFER","TRANSFER_ID_NOT_FOUND","TRANSFER_ID_NOT_FOUND"
"TRANSFER_EXPIRED","TRANSFER_EXPIRED","TRANSFER_EXPIRED"
"UNABLE_TO_CANCEL_TRANSFER_RESERVATION","GENERIC_SERVER_ERROR","GENERIC_SERVER_ERROR"
"TRANSFER_LIQUIDITY_CHECK_FAILED","PAYER_FSP_INSUFFICIENT_LIQUIDITY","PAYER_FSP_INSUFFICIENT_LIQUIDITY"
"PAYER_PARTICIPANT_ID_MISMATCH","GENERIC_PAYER_BLOCKED_ERROR","GENERIC_PAYER_BLOCKED_ERROR"
"PAYER_PARTICIPANT_NOT_ACTIVE","GENERIC_PAYER_BLOCKED_ERROR","GENERIC_PAYER_BLOCKED_ERROR"
"PAYER_PARTICIPANT_NOT_APPROVED","GENERIC_PAYER_BLOCKED_ERROR","GENERIC_PAYER_BLOCKED_ERROR"
"PAYEE_PARTICIPANT_ID_MISMATCH","DESTINATION_FSP_ERROR","DESTINATION_FSP_ERROR"
"PAYEE_PARTICIPANT_NOT_ACTIVE","DESTINATION_FSP_ERROR","DESTINATION_FSP_ERROR"
"PAYEE_PARTICIPANT_NOT_APPROVED","DESTINATION_FSP_ERROR","DESTINATION_FSP_ERROR"
